objectid,title,subject,description,location,creator,language,type,identifier,format,filename,file date,file size,rights
coll001,fix!,Coffee; Coffee drinks; Coffee shops; Small Business; Women-owned business enterprises; Color photography--Digital techniques,"Digital photo of a sign on the first level of Hotel Chauncy for fix!, located on level two. The sign lists open hours and advertises a mobile app (fix!@chauncey) and website (chaunceyfix.com). This coffee shop specializes in coffee drinks, but also serves a small selection of non-coffee beverages.","404 E. College St., Suite 202, Iowa City, IA; The Chauncey","Walker, Mikayla",en,image,20250320_185230966,image/jpeg,PXL_20250320_185230966.jpg,2025-03-20,2.8 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for fix!. This material may be used for educational purposes only.
coll002,Mammitas Coffee,Coffee; Coffee drinks; Coffee shops; Local foods; Small Business; Women-owned business enterprises; Hispanic American business enterprises; Color photography--Digital techniques,"Digital photo of the storefront of Mammitas Coffee. The storefront is brightly painted in blue and green with orange accents. There are two signs advertising hours and current food/drink specials. This coffee shop specializes in Latin-American-inspired coffee drinks, food, and pastries. ","224 S. Linn St., Iowa City, IA","Walker, Mikayla",en,image,20250320_185706365,image/jpeg,20250320_185706365.jpg,2025-03-20,4.5 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Mammitas Coffee. This material may be used for educational purposes only.
coll003,Bread Garden Market & Bakery,Coffee; Coffee drinks; Coffee shops; Small Business; Grocers--United States; Color photography--Digital techniques,"Digital photo of the sign and outdoor seating for Bread Garden Market & Bakery, located in the Pedestrian Mall. The coffee shop is located inside the market and specializes in coffee drinks, but also serves a selection of non-coffee beverages, pastries, and gelato. ","225 S. Linn St., Iowa City, IA; Pedestrian Mall","Walker, Mikayla",en,image,20250320_185905558,image/jpeg,20250320_185905558.jpg,2025-03-20,3.4 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Bread Garden Market & Bakery. This material may be used for educational purposes only.
coll004,Poindexter Coffee,Coffee; Coffee drinks; Coffee shops; Color photography--Digital techniques,"Digital photo of the sign outside of Poindexter Coffee, located within the Graduate Hotel. The sign advertises the coffee shop’s open hours, breakfast hours, lunch hours, and an available student discount for University of Iowa students and faculty. This coffee shop specializes in coffee drinks, but offers a selection of non-coffee beverages and meal options catered toward hotel guests. ","210 S. Dubuque St., Iowa City, IA; Graduate Hotel; Pedestrian Mall","Walker, Mikayla",en,image,20250320_190023335,image/jpeg,20250320_190023335.jpg,2025-03-20,2.7 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Poindexter Coffee. This material may be used for educational purposes only.
coll005,TSpoons (Pedestrian Mall),Coffee; Coffee drinks; Coffee shops; Small Business; Women-owned business enterprises; Color photography--Digital techniques,"Digital photo of the storefront of Tspoons, located in the Pedestrian Mall and sharing a retail space with clothing/gift store, Cielo. This store features a walk-up ordering window and outdoor seating. The windows are painted with the store name and decorations, and include menu signs near the walk-up window. This coffee shop specializes in coffee drinks, but also serves a selection of non-coffee beverages and food. ","125 S. Dubuque St., Iowa City, IA; Pedestrian Mall","Walker, Mikayla",en,image,20250320_190127794,image/jpeg,20250320_190127794.jpg,2025-03-20,3.1 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Tspoons. This material may be used for educational purposes only.
coll006,Hyper Energy Bar,Energy drinks; Coffee drinks; Chain stores; Color photography--Digital techniques,"Digital photo of the storefront of Hyper Energy Bar, located in the Pedestrian Mall. This is the only Iowa City location of the Des Moines area chain. This business specializes in infused energy drinks, but also serves coffee drinks and a small selection of pastries.","115 E. College St., Iowa City, IA; Pedestrian Mall","Walker, Mikayla",en,image,20250320_190227001,image/jpeg,20250320_190227001.jpg,2025-03-20,2.1 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Hyper Energy Bar. This material may be used for educational purposes only.
coll007,The Bep Teahouse,Bubble tea; Tea; Vietnamese American business enterprises; Asian American business enterprises; Chain stores; Color photography--Digital techniques,"Digital photo of the external entrance of The Bep Teahouse, located inside the Old Capital Town Center. The windows feature signage advertising current food and drink specials. The Bep specializes in bubble tea and Vietnamese snacks, and has nine additional locations in Texas, New Jersey, Kentucky, and Georgia.","201 S. Clinton St., #167, Iowa City, IA; Old Capitol Town Center","Walker, Mikayla",en,image,20250320_190355458,image/jpeg,20250320_190355458.jpg,2025-03-20,2.6 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for The Bep Teahouse. This material may be used for educational purposes only.
coll008,Starbucks Coffee,Coffee; Coffee drinks; Coffee shops; Chain stores; Big business--United States; Color photography--Digital techniques,"Digital photo of the storefront and outdoor seating area of Starbucks Coffee. Starbucks Coffee is a large international coffee shop chain, specializing in coffee drinks. They also serve other non-coffee drinks, pastries, and breakfast sandwiches. ","228 S. Clinton St., Iowa City, IA","Walker, Mikayla",en,image,0250320_190517731,image/jpeg,0250320_190517731.jpg,2025-03-20,3.2 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Starbucks Coffee. This material may be used for educational purposes only.
coll009,The Encounter Cafe,Coffee; Coffee drinks; Coffee shops; Local foods; Small Business; Business--Religious aspects--Mennonites; Color photography--Digital techniques,"Digital photo of the storefront of The Encounter Cafe. The front window notes coffee and pretzels and specialties, and the sign above the window states the cafe is healthy, fresh, and local. The Encounter Cafe serves breakfast and lunch in the main section of the building, with a cafe area connected to the restaurant section that specializes in serving coffee drinks and fresh-baked goods. ","376 S. Clinton St., Iowa City, IA","Walker, Mikayla",en,image,20250320_190828144,image/jpeg,20250320_190828144.jpg,2025-03-20,4.2 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for The Encounter Cafe. This material may be used for educational purposes only.
coll010,TSpoons (Old Capitol Town Center),Coffee; Coffee drinks; Coffee shops; Small Business; Women-owned business enterprises; Color photography--Digital techniques,"Digital photo of the storefront of Tspoons Coffee and Treats, located inside the Old Capitol Town Center. There are chalkboard signs on each side of the entrance listing open hours and the store’s Instagram account (@tspoonsic). There is also additional signage that advertises a partnership with Sweets and Treats and current drink specials. Visible inside the store are shelves stocked with products, a pastry case, artwork, and cushioned seating.This coffee shop specializes in coffee drinks, but also serves a selection of non-coffee beverages and food.","201 S. Clinton St., #117, Iowa City, IA; Old Capitol Town Center","Walker, Mikayla",en,image,20250320_191823927,image/jpeg,20250320_191823927.jpg,2025-03-20,2.2 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Tspoons. This material may be used for educational purposes only.
